"id","player","pos","sOHL","season","DY+/-","gp","evtp","pptp","tp","ev.ppg","pp.ppg","ppg","eTOI/GP","DOB","age.group"
18984,"jan-mursak","F",4,2008,"DY+2",57,39,23,64,0.684,0.404,1.123,14.61,1988-01-20,"early"
17783,"kevin-baker","F",5,2008,"DY+3",69,31,19,57,0.449,0.275,0.826,16.93,1987-03-27,"early"
21258,"dale-mitchell","F",3,2008,"DY+1",63,40,20,60,0.635,0.317,0.952,15.66,1989-04-09,"early"
21760,"nick-palmieri","F",3,2008,"DY+1",50,21,24,46,0.42,0.48,0.92,15.56,1989-07-12,"early"
18786,"luke-lynes","F",5,2008,"DY+2",68,43,21,64,0.632,0.309,0.941,16.34,1987-11-28,"late"
20442,"patrik-lusnak","F",4,2008,"DY+1",58,32,23,59,0.552,0.397,1.017,16.17,1988-11-06,"late"
17281,"jordan-foreman","D",5,2008,"DY+3",65,39,19,62,0.6,0.292,0.954,19.54,1987-01-06,"early"
18449,"matt-carter","F",5,2008,"DY+3",61,29,25,54,0.475,0.41,0.885,17.01,1987-08-20,"early"
23753,"zach-bogosian","D",2,2008,"DY",60,22,37,61,0.367,0.617,1.017,20.97,1990-07-15,"early"
23667,"robert-mignardi","F",2,2008,"DY",66,33,16,56,0.5,0.242,0.848,17.06,1990-06-28,"early"
19120,"andris-dzerins","F",4,2008,"DY+2",61,30,20,50,0.492,0.328,0.82,15.84,1988-02-14,"early"
21350,"akim-aliu","D",3,2008,"DY+1",60,32,28,61,0.533,0.467,1.017,18.08,1989-04-24,"early"
20868,"eric-tangradi","F",3,2008,"DY+1",56,32,27,60,0.571,0.482,1.071,15.22,1989-02-10,"early"
21220,"pat-daley","F",3,2008,"DY+1",62,32,16,48,0.516,0.258,0.774,13.02,1989-04-04,"early"
19083,"matt-lyall","F",4,2008,"DY+2",67,39,17,57,0.582,0.254,0.851,14.92,1988-02-08,"early"
19518,"tomas-marcinko","F",4,2008,"DY+2",48,24,20,45,0.5,0.417,0.938,19.22,1988-04-11,"early"
21579,"ryan-hayes","F",3,2008,"DY+1",27,16,6,22,0.593,0.222,0.815,14.62,1989-06-04,"early"
24364,"ryan-ellis","D",1,2008,"DY-1",63,26,36,63,0.413,0.571,1,19.33,1991-01-03,"early"
20849,"justin-taylor","F",3,2008,"DY+1",68,41,13,55,0.603,0.191,0.809,15,1989-02-08,"early"
23637,"michael-del-zotto","D",2,2008,"DY",64,20,36,63,0.312,0.562,0.984,21.54,1990-06-24,"early"
24459,"matt-duchene","F",1,2008,"DY-1",64,33,16,50,0.516,0.25,0.781,16.41,1991-01-16,"early"
22259,"jamie-arniel","F",3,2008,"DY",60,27,20,47,0.45,0.333,0.783,15.68,1989-11-16,"late"
24625,"ryan-o-reilly","F",1,2008,"DY-1",61,26,22,52,0.426,0.361,0.852,15.23,1991-02-07,"early"
24191,"alex-hutchings","F",2,2008,"DY-1",68,36,16,54,0.529,0.235,0.794,17.26,1990-11-07,"late"
19202,"john-armstrong","F",4,2008,"DY+2",65,31,24,57,0.477,0.369,0.877,17.31,1988-02-26,"early"
17453,"sean-o-connor","F",5,2008,"DY+3",56,25,20,45,0.446,0.357,0.804,16.48,1987-01-31,"early"
18949,"josh-godfrey","D",4,2008,"DY+2",60,12,38,51,0.2,0.633,0.85,17.96,1988-01-15,"early"
23906,"jared-staal","F",2,2008,"DY",60,28,21,49,0.467,0.35,0.817,14.65,1990-08-21,"early"
18942,"daniel-michalsky","F",4,2008,"DY+2",49,20,18,41,0.408,0.367,0.837,17.28,1988-01-13,"early"
19969,"cory-mcgillis","F",4,2008,"DY+2",48,22,17,39,0.458,0.354,0.812,17.03,1988-07-09,"early"
17468,"ryan-wilson","D",5,2008,"DY+3",58,23,43,71,0.397,0.741,1.224,21.17,1987-02-03,"early"
22331,"drew-doughty","D",3,2008,"DY",58,13,37,50,0.224,0.638,0.862,23.77,1989-12-08,"late"
22407,"josh-brittain","F",2,2008,"DY",68,35,16,51,0.515,0.235,0.75,16.85,1990-01-03,"early"
24274,"phil-varone","F",2,2008,"DY-1",67,35,24,61,0.522,0.358,0.91,13.58,1990-12-04,"late"
24779,"casey-cizikas","F",1,2008,"DY-1",62,27,12,41,0.435,0.194,0.661,16.05,1991-02-27,"early"
18623,"mathieu-methot","F",5,2008,"DY+2",66,20,19,41,0.303,0.288,0.621,15.03,1987-10-08,"late"
18179,"rafael-rotter","F",5,2008,"DY+3",68,27,30,59,0.397,0.441,0.868,15.69,1987-06-14,"early"
22520,"alex-pietrangelo","D",2,2008,"DY",60,25,23,53,0.417,0.383,0.883,24.05,1990-01-18,"early"
20286,"yannick-weber","D",4,2008,"DY+1",59,9,46,55,0.153,0.78,0.932,23.83,1988-09-23,"late"
23659,"a.j.-jenks","F",2,2008,"DY",68,28,26,55,0.412,0.382,0.809,16.17,1990-06-27,"early"
20335,"mickey-renaud","F",4,2008,"DY+1",56,36,3,41,0.643,0.054,0.732,15.46,1988-10-05,"late"
22470,"anthony-nigro","F",2,2008,"DY",67,25,21,48,0.373,0.313,0.716,16,1990-01-11,"early"
21425,"matt-martin","F",3,2008,"DY+1",66,31,7,38,0.47,0.106,0.576,13.48,1989-05-08,"early"
26051,"joey-hishon","F",1,2008,"DY-2",63,18,26,47,0.286,0.413,0.746,18.59,1991-10-20,"late"
21365,"luke-pither","F",3,2008,"DY+1",51,21,21,42,0.412,0.412,0.824,14.88,1989-04-26,"early"
19260,"jesse-messier","F",4,2008,"DY+2",64,23,17,43,0.359,0.266,0.672,18.12,1988-03-05,"early"
22221,"brett-theberge","F",3,2008,"DY",55,23,13,39,0.418,0.236,0.709,14.03,1989-11-03,"late"
18517,"brandon-maclean","F",5,2008,"DY+3",68,36,9,52,0.529,0.132,0.765,15.12,1987-09-04,"early"
22890,"james-livingston","F",2,2008,"DY",68,30,14,44,0.441,0.206,0.647,12.99,1990-03-08,"early"
17329,"kris-sparre","F",5,2008,"DY+3",59,24,12,37,0.407,0.203,0.627,14.65,1987-01-12,"early"
20688,"marcus-carroll","F",3,2008,"DY+1",48,24,2,26,0.5,0.042,0.542,17.54,1989-01-15,"early"
17301,"andrew-self","F",5,2008,"DY+3",56,28,10,38,0.5,0.179,0.679,12.56,1987-01-08,"early"
17590,"graham-mcnabb","F",5,2008,"DY+3",68,38,7,49,0.559,0.103,0.721,15.17,1987-02-23,"early"
21213,"andrew-merrett","F",3,2008,"DY+1",65,40,12,52,0.615,0.185,0.8,15.9,1989-04-03,"early"
18999,"thomas-kiriakou","F",4,2008,"DY+2",66,27,11,41,0.409,0.167,0.621,16.77,1988-01-24,"early"
19363,"chris-chappell","F",4,2008,"DY+2",54,22,12,34,0.407,0.222,0.63,14.49,1988-03-21,"early"
20644,"thomas-stajan","F",3,2008,"DY+1",60,35,5,43,0.583,0.083,0.717,14.04,1989-01-07,"early"
21454,"p.k.-subban","D",3,2008,"DY+1",58,25,22,47,0.431,0.379,0.81,18.72,1989-05-13,"early"
22131,"michael-pelech","F",3,2008,"DY",68,25,22,49,0.368,0.324,0.721,16.74,1989-10-06,"late"
22657,"adam-henrique","F",2,2008,"DY",66,30,13,44,0.455,0.197,0.667,12.74,1990-02-06,"early"
22945,"philip-mcrae","F",2,2008,"DY",66,24,22,46,0.364,0.333,0.697,13.02,1990-03-15,"early"
19240,"keaton-turkiewicz","F",4,2008,"DY+2",67,29,12,41,0.433,0.179,0.612,13,1988-03-02,"early"
18016,"justin-wallingford","D",5,2008,"DY+3",61,20,27,50,0.328,0.443,0.82,26.48,1987-05-12,"early"
17676,"wes-cunningham","D",5,2008,"DY+3",55,20,29,49,0.364,0.527,0.891,23.65,1987-03-09,"early"
20078,"matt-piva","F",4,2008,"DY+2",47,27,8,35,0.574,0.17,0.745,15.88,1988-08-05,"early"
22318,"tyler-murovich","F",3,2008,"DY",68,29,8,38,0.426,0.118,0.559,12.25,1989-12-04,"late"
19623,"matt-dias","F",4,2008,"DY+2",66,20,20,42,0.303,0.303,0.636,15.5,1988-04-29,"early"
22971,"cameron-gaunce","D",2,2008,"DY",63,18,19,40,0.286,0.302,0.635,22.47,1990-03-19,"early"
18252,"justin-soryal","F",5,2008,"DY+3",59,26,12,39,0.441,0.203,0.661,15.49,1987-06-29,"early"
20474,"arron-alphonso","F",4,2008,"DY+1",57,26,10,36,0.456,0.175,0.632,14.37,1988-11-14,"late"
24140,"chris-desousa","F",2,2008,"DY-1",64,30,5,36,0.469,0.078,0.562,13.87,1990-10-19,"late"
21008,"matt-kennedy","F",3,2008,"DY+1",45,14,6,21,0.311,0.133,0.467,13.81,1989-03-04,"early"
17853,"kenzie-sheppard","F",5,2008,"DY+3",58,17,15,32,0.293,0.259,0.552,12.43,1987-04-11,"early"
17634,"joe-mccann","F",5,2008,"DY+3",56,19,13,33,0.339,0.232,0.589,15.2,1987-03-02,"early"
17585,"elgin-reid","D",5,2008,"DY+3",54,16,26,42,0.296,0.481,0.778,19.54,1987-02-23,"early"
18167,"scott-tregunna","F",5,2008,"DY+3",67,26,18,48,0.388,0.269,0.716,17.59,1987-06-12,"early"
19564,"nigel-williams","D",4,2008,"DY+2",67,26,19,46,0.388,0.284,0.687,18.2,1988-04-18,"early"
19734,"eric-regan","D",4,2008,"DY+2",67,11,36,48,0.164,0.537,0.716,23.53,1988-05-20,"early"
19712,"cory-tanaka","F",4,2008,"DY+2",68,34,13,51,0.5,0.191,0.75,14.02,1988-05-17,"early"
20584,"matt-lahey","F",4,2008,"DY+1",22,8,3,11,0.364,0.136,0.5,13.11,1988-12-28,"late"
21046,"gerome-giudice","F",3,2008,"DY+1",64,21,23,44,0.328,0.359,0.688,15.19,1989-03-11,"early"
24338,"vern-cooper","F",2,2008,"DY-1",64,25,8,35,0.391,0.125,0.547,14.45,1990-12-30,"late"
19191,"shea-kewin","F",4,2008,"DY+2",62,26,4,31,0.419,0.065,0.5,12.03,1988-02-25,"early"
22571,"kelly-geoffrey","F",2,2008,"DY",67,27,10,39,0.403,0.149,0.582,13.58,1990-01-25,"early"
18169,"matthew-bragg","D",5,2008,"DY+3",65,30,2,36,0.462,0.031,0.554,15.78,1987-06-12,"early"
25374,"michael-latta","F",1,2008,"DY-1",50,15,13,28,0.3,0.26,0.56,13.28,1991-05-25,"early"
18965,"harrison-reed","F",4,2008,"DY+2",69,23,22,47,0.333,0.319,0.681,14.54,1988-01-18,"early"
23410,"sean-jones","F",2,2008,"DY",67,29,6,36,0.433,0.09,0.537,13.62,1990-05-17,"early"
22289,"zach-harnden","F",3,2008,"DY",65,27,12,40,0.415,0.185,0.615,14.89,1989-11-23,"late"
20970,"david-kolomatis","D",3,2008,"DY+1",68,15,30,45,0.221,0.441,0.662,23.92,1989-02-25,"early"
21967,"kaine-geldart","F",3,2008,"DY+1",68,23,15,38,0.338,0.221,0.559,15.27,1989-08-23,"early"
19165,"jason-bergeron","F",4,2008,"DY+2",62,27,5,32,0.435,0.081,0.516,13.18,1988-02-20,"early"
22044,"scott-timmins","F",3,2008,"DY+1",62,27,0,29,0.435,0,0.468,13.02,1989-09-11,"early"
18138,"jason-bailey","F",5,2008,"DY+3",34,8,8,17,0.235,0.235,0.5,15.22,1987-06-04,"early"
19022,"patrick-lee","F",4,2008,"DY+2",61,13,15,28,0.213,0.246,0.459,13.37,1988-01-27,"early"
20601,"jason-dale","F",4,2008,"DY+1",66,29,3,34,0.439,0.045,0.515,12.89,1988-12-31,"late"
22196,"t.j.-battani","F",3,2008,"DY",59,29,1,30,0.492,0.017,0.508,12.23,1989-10-25,"late"
22763,"marco-franchini","F",2,2008,"DY",67,21,13,34,0.313,0.194,0.507,14.24,1990-02-19,"early"
25311,"jordan-szwarz","F",1,2008,"DY-1",65,22,11,33,0.338,0.169,0.508,11.91,1991-05-14,"early"
17840,"ryan-berard","F",5,2008,"DY+3",56,16,6,24,0.286,0.107,0.429,13.65,1987-04-08,"early"
22212,"steven-tarasuk","D",3,2008,"DY",67,20,17,37,0.299,0.254,0.552,17.4,1989-11-01,"late"
23605,"jesse-brown","F",2,2008,"DY",67,23,8,31,0.343,0.119,0.463,11.95,1990-06-19,"early"
19845,"kyle-paige","F",4,2008,"DY+2",68,23,9,34,0.338,0.132,0.5,14.23,1988-06-14,"early"
20392,"jared-gomes","F",4,2008,"DY+1",68,23,2,29,0.338,0.029,0.426,13.47,1988-10-20,"late"
19349,"matt-corrente","D",4,2008,"DY+2",21,7,8,15,0.333,0.381,0.714,18.69,1988-03-17,"early"
24370,"andrew-agozzino","F",1,2008,"DY-1",50,18,1,22,0.36,0.02,0.44,12.46,1991-01-03,"early"
20874,"tyler-melancon","F",3,2008,"DY+1",58,17,10,27,0.293,0.172,0.466,14.38,1989-02-11,"early"
23822,"adam-comrie","D",2,2008,"DY",58,18,9,28,0.31,0.155,0.483,15.99,1990-07-31,"early"
18924,"nick-pageau","D",4,2008,"DY+2",53,13,15,30,0.245,0.283,0.566,18.27,1988-01-08,"early"
25839,"jordan-mayer","F",1,2008,"DY-1",32,10,7,17,0.312,0.219,0.531,13.16,1991-08-24,"early"
23883,"michael-lomas","F",2,2008,"DY",62,15,18,33,0.242,0.29,0.532,13.38,1990-08-16,"early"
24885,"daniel-erlich","F",1,2008,"DY-1",27,9,2,12,0.333,0.074,0.444,11.25,1991-03-13,"early"
19063,"andrew-campbell","D",4,2008,"DY+2",68,18,15,35,0.265,0.221,0.515,19.15,1988-02-04,"early"
20577,"branislav-rehus","F",4,2008,"DY+1",68,20,14,34,0.294,0.206,0.5,13.71,1988-12-24,"late"
21052,"daniel-lombardi","F",3,2008,"DY+1",52,24,2,27,0.462,0.038,0.519,13.09,1989-03-12,"early"
21468,"john-kurtz","F",3,2008,"DY+1",63,18,7,28,0.286,0.111,0.444,14.1,1989-05-16,"early"
21589,"grant-mcgee","F",3,2008,"DY+1",11,4,0,4,0.364,0,0.364,13.11,1989-06-06,"early"
17636,"ryan-mcginnis","D",5,2008,"DY+3",64,19,27,48,0.297,0.422,0.75,22.17,1987-03-03,"early"
21824,"luke-gazdic","F",3,2008,"DY+1",67,21,8,29,0.313,0.119,0.433,13.23,1989-07-25,"early"
21174,"dustin-ekelman","F",3,2008,"DY+1",14,5,0,5,0.357,0,0.357,12.53,1989-03-29,"early"
21429,"mark-katic","D",3,2008,"DY+1",45,12,18,31,0.267,0.4,0.689,19.38,1989-05-09,"early"
21680,"jordan-nolan","F",3,2008,"DY+1",62,22,3,27,0.355,0.048,0.436,11.44,1989-06-23,"early"
20151,"brandon-biggers","F",4,2008,"DY+2",68,26,1,29,0.382,0.015,0.426,12.84,1988-08-21,"early"
19303,"kyle-bochek","F",4,2008,"DY+2",54,18,0,20,0.333,0,0.37,13.06,1988-03-11,"early"
19463,"kevin-montgomery","D",4,2008,"DY+2",63,21,22,43,0.333,0.349,0.682,18.23,1988-04-04,"early"
21357,"justin-levac","F",3,2008,"DY+1",41,12,6,20,0.293,0.146,0.488,14.85,1989-04-25,"early"
19488,"tim-priamo","D",4,2008,"DY+2",56,16,8,26,0.286,0.143,0.464,15.78,1988-04-07,"early"
22086,"adam-zamec","F",3,2008,"DY",59,15,11,27,0.254,0.186,0.458,13.51,1989-09-22,"late"
22806,"stefan-della-rovere","F",2,2008,"DY",68,21,11,32,0.309,0.162,0.471,15.05,1990-02-25,"early"
23239,"barry-sanderson","F",2,2008,"DY",60,18,8,27,0.3,0.133,0.45,13.18,1990-04-22,"early"
23614,"thomas-nesbitt","F",2,2008,"DY",66,24,2,27,0.364,0.03,0.409,14.08,1990-06-20,"early"
21034,"drew-schiestel","D",3,2008,"DY+1",68,24,13,37,0.353,0.191,0.544,20.35,1989-03-09,"early"
19942,"michael-caruso","D",4,2008,"DY+2",62,20,14,34,0.323,0.226,0.548,20.93,1988-07-05,"early"
21036,"josh-moes","F",3,2008,"DY+1",57,19,2,23,0.333,0.035,0.404,12.72,1989-03-09,"early"
20054,"frankie-santini","D",4,2008,"DY+2",64,27,11,39,0.422,0.172,0.609,20.86,1988-07-29,"early"
20641,"shawn-frank","F",3,2008,"DY+1",61,13,13,26,0.213,0.213,0.426,14.76,1989-01-06,"early"
25302,"taylor-beck","F",1,2008,"DY-1",56,16,5,21,0.286,0.089,0.375,12.32,1991-05-13,"early"
23846,"shawn-szydlowski","F",2,2008,"DY",66,20,4,25,0.303,0.061,0.379,12.02,1990-08-05,"early"
24680,"luke-judson","F",1,2008,"DY-1",10,4,0,4,0.4,0,0.4,10.66,1991-02-14,"early"
22515,"tim-billingsley","D",2,2008,"DY",68,8,19,27,0.118,0.279,0.397,22.34,1990-01-17,"early"
22286,"jordan-skellett","F",3,2008,"DY",65,23,8,31,0.354,0.123,0.477,14.22,1989-11-22,"late"
22299,"julien-demers","D",3,2008,"DY",65,7,24,33,0.108,0.369,0.508,20.54,1989-11-25,"late"
23244,"mike-farrell","F",2,2008,"DY",65,24,3,27,0.369,0.046,0.415,12.93,1990-04-23,"early"
20031,"arturs-kulda","D",4,2008,"DY+2",55,15,19,34,0.273,0.345,0.618,19.65,1988-07-25,"early"
18899,"tony-romano","F",4,2008,"DY+2",66,16,6,22,0.242,0.091,0.333,11.43,1988-01-05,"early"
22690,"j.k.-gill","F",2,2008,"DY",66,11,12,24,0.167,0.182,0.364,12.61,1990-02-09,"early"
22912,"shawn-lalonde","D",2,2008,"DY",66,18,13,31,0.273,0.197,0.47,18.9,1990-03-10,"early"
19890,"brett-bellemore","D",4,2008,"DY+2",56,12,11,24,0.214,0.196,0.429,21.32,1988-06-25,"early"
21316,"anthony-peluso","F",3,2008,"DY+1",63,14,7,21,0.222,0.111,0.333,11.48,1989-04-18,"early"
21863,"corey-cowick","F",3,2008,"DY+1",63,20,5,25,0.317,0.079,0.397,11.66,1989-08-01,"early"
19447,"joshua-day","D",4,2008,"DY+2",67,21,13,36,0.313,0.194,0.537,20.56,1988-04-02,"early"
24568,"alex-friesen","F",1,2008,"DY-1",46,12,2,14,0.261,0.043,0.304,11.9,1991-01-30,"early"
19732,"aaron-snow","F",4,2008,"DY+2",43,16,6,22,0.372,0.14,0.512,12.15,1988-05-20,"early"
24442,"peter-holland","F",1,2008,"DY-1",62,16,7,23,0.258,0.113,0.371,12.03,1991-01-14,"early"
23487,"cody-lindsay","F",2,2008,"DY",66,12,10,22,0.182,0.152,0.333,13.92,1990-05-29,"early"
24495,"derek-holden","D",1,2008,"DY-1",22,2,6,8,0.091,0.273,0.364,17.26,1991-01-21,"early"
21163,"leigh-salters","F",3,2008,"DY+1",59,15,6,21,0.254,0.102,0.356,11.5,1989-03-27,"early"
22531,"tyler-cuma","D",2,2008,"DY",59,18,14,32,0.305,0.237,0.542,21.14,1990-01-19,"early"
18675,"david-jarram","F",5,2008,"DY+2",63,14,4,18,0.222,0.063,0.286,11.42,1987-10-23,"late"
21198,"brendan-taylor","F",3,2008,"DY+1",56,18,7,25,0.321,0.125,0.446,10.83,1989-04-01,"early"
24703,"joey-west","F",1,2008,"DY-1",64,19,0,20,0.297,0,0.312,11.99,1991-02-16,"early"
20660,"steve-reese","F",3,2008,"DY+1",68,17,3,21,0.25,0.044,0.309,13.27,1989-01-09,"early"
21628,"joe-pleckaitis","F",3,2008,"DY+1",68,21,0,22,0.309,0,0.324,12.21,1989-06-13,"early"
18005,"ronny-rogers","F",5,2008,"DY+3",23,7,0,7,0.304,0,0.304,11.46,1987-05-09,"early"
20032,"andrew-wilkins","F",4,2008,"DY+2",54,19,2,22,0.352,0.037,0.407,15.2,1988-07-25,"early"
21131,"martin-paryzek","D",3,2008,"DY+1",58,13,17,30,0.224,0.293,0.517,21.15,1989-03-23,"early"
24513,"zack-kassian","F",1,2008,"DY-1",58,19,2,21,0.328,0.034,0.362,12.24,1991-01-24,"early"
23673,"kyle-decoste","F",2,2008,"DY",66,12,10,22,0.182,0.152,0.333,12.89,1990-06-30,"early"
20480,"josh-kidd","D",4,2008,"DY+1",43,6,7,13,0.14,0.163,0.302,19.9,1988-11-16,"late"
23123,"kale-kerbashian","F",2,2008,"DY",59,18,0,18,0.305,0,0.305,11.28,1990-04-07,"early"
23644,"vladimir-roth","D",2,2008,"DY",59,10,10,21,0.169,0.169,0.356,15.51,1990-06-25,"early"
23610,"dean-howard","F",2,2008,"DY",67,18,8,26,0.269,0.119,0.388,13.51,1990-06-20,"early"
20068,"rob-kwiet","D",4,2008,"DY+2",64,14,13,27,0.219,0.203,0.422,18.05,1988-08-02,"early"
20492,"doug-clarkson","F",4,2008,"DY+1",48,12,2,14,0.25,0.042,0.292,10.49,1988-11-21,"late"
21874,"alexei-dostoinov","F",3,2008,"DY+1",36,11,3,14,0.306,0.083,0.389,11.7,1989-08-03,"early"
23261,"mitch-gaulton","D",2,2008,"DY",20,3,3,7,0.15,0.15,0.35,17.25,1990-04-25,"early"
23514,"ondrej-pekarik","F",2,2008,"DY",48,13,1,14,0.271,0.021,0.292,10.52,1990-06-02,"early"
17993,"derek-brochu","F",5,2008,"DY+3",57,17,3,21,0.298,0.053,0.368,14.17,1987-05-06,"early"
21977,"lane-macdermid","F",3,2008,"DY+1",66,17,6,24,0.258,0.091,0.364,13.32,1989-08-25,"early"
20275,"brandon-mashinter","F",4,2008,"DY+1",62,20,0,20,0.323,0,0.323,11.08,1988-09-20,"late"
20025,"jeff-barletta","D",4,2008,"DY+2",29,3,2,7,0.103,0.069,0.241,17.01,1988-07-22,"early"
22964,"mike-mascioli","F",2,2008,"DY",50,20,0,20,0.4,0,0.4,10.91,1990-03-18,"early"
19512,"spencer-anderson","F",4,2008,"DY+2",47,14,2,17,0.298,0.043,0.362,11.82,1988-04-09,"early"
23763,"michal-jordan","D",2,2008,"DY",61,17,11,28,0.279,0.18,0.459,17.46,1990-07-17,"early"
22791,"nick-crawford","D",2,2008,"DY",68,9,11,20,0.132,0.162,0.294,17.96,1990-02-23,"early"
